,Title,Abstract,Owner,field,Key word,country,State,City,link of page
2678,روزین ROSIN,,شرکت پتروشیمی بندر امام,"علوم پایه, مهندسی مواد",,ایران,خوزستان,بندرماهشهر,https://nan.ac/ViewNeed/7061E3A6AF8560BE63F77BE6AB055D93
2679,تدوین دانش فنی و بومی سازی ساخت موتور درون چاهی جابجایی مثبت براساس موتورهای ساخت شرکت Dyna-drill  با سایز 5 اینچ (0300-R),1- تدوین دانش فنی و بومی سازی ساخت موتور درون چاهی جابجایی مثبت براساس موتورهای ساخت شرکت Dyna-drill با سایز 5 اینچ,شرکت ملی مناطق نفت خيز جنوب,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,خوزستان,اهواز,https://nan.ac/ViewNeed/D7A287849E00FF5F41644F7B6CC95976
2680,آنتی اکسیدان  TBCو(BHT بازدارنده),,شرکت پتروشیمی بندر امام,"علوم پایه, مهندسی مواد, شیمی معدنی",,ایران,خوزستان,بندرماهشهر,https://nan.ac/ViewNeed/DAA41360E07CA656D3A5419B0F71BCE8
2681,کاتالیست ستنتز MTB,,شرکت پتروشیمی بندر امام,"علوم پایه, مهندسی نفت",,ایران,خوزستان,بندرماهشهر,https://nan.ac/ViewNeed/F7EE71F39C40D5EC1963AC5780A00434
2682,غلاف لاستیکی رگولاتور آکسیال فلو ولو (اسلیو ),غلاف لاستیکی رگولاتور آکسیال فلو ولو (اسلیو ) در خطوط فرآیند انتقال گاز از محل تولید تا مصرف، ایستگاه های مختلفی با هدف تقلیل و کنترل فشار گاز وجود دارد، که در این ایستگاه ها تجهیزات و قطعات مختلف حفاظت و کنترلی مختلفی بکارمی رود، یکی از این قطعات مصرفی اسلیو می باشد که مجرای عبور گاز در حین کاهش فشار می باشد. این غلاف درون رگولاتور قرار می گیرد. که بدلیل اینکه در معرض خردگی، سایش و تنش های حرارتی است در مدت کوتاهی دچار آسیب شده و مستلزم تعویض آن می باشد. و ضمن هزینه بر بودن آن، تعویض آن مستلزم خارج کردن موقت ایستگاه از مدار می باشد. از این رو افزایش طول عمر این غلاف میتواند این مشکلات و محدودیت ها را تا حد زیادی کاهش دهد.,تدبیرگران کار آفن صنعت,"علوم پایه, مهندسی مواد, شیمی معدنی",,ایران,خراسان رضوی,مشهد,https://nan.ac/ViewNeed/7725AFBBD05AA4322A938003319EB1B1
2683,ساخت دستگاهی جهت شناسایی محل مفصل کابلها و مسیر کابل ها در حالت برق دار,برای شبکه های زمین با تحلیل میدان الکتریکی,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['شناسایی-مفصل کابل-مسیر-حالت برق دار-زمین'],ایران,قزوین,قزوین,https://nan.ac/ViewNeed/A625A796824D8D65075F764742F69E23
2684,تهیه الگوریتم شناسایی مراکز استخراج رمز ارزهای غیر مجاز,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['الگوریتم شناسایی، مراکز استخراج رمز ارز'],ایران,کرمان,,https://nan.ac/ViewNeed/8C096DAE762CC55E4BAAE4B2900F0C43
2685,مطالعه و بررسي جدايش مخزني (Compartmentalization) در مخازن كنگان و دالان ميدان پارس جنوبي,,شركت نفت و گاز پارس,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/1A3E3CE6266DCCE1784E2CBA9DEBC593
2686,شناسایی فرصت های آینده شغلی بانوان مبتنی بر پایداری خانواده,بررسی تحولات جدید، آموزش مهارت ها، ایجاد رشته های دانشگاهی درخصوص اشتغال زنان با هدف کاهش نرخ بیکاری آنان در استان,سازمان مدیریت و برنامه ریزی استان یزد,علوم انسانی,['اشتغال زنان'],ایران,یزد,یزد,https://nan.ac/ViewNeed/6B6B0B59C8970BC7098308D49A3831CA
2687,دانش فنی تولید انواع کمپر قابل حمل با خودروی سواری با وزن پایین و تجهیزات جانبی,این واحد تولیدی دارای کلیه تجهیزات و ماشین آلات مرتبط به طراحی و ساخت قطعات و تجهیزات فلزی بوده اما متاسفانه در بخش انتخاب محصول با مشکل مواجه است . این مجموعه با توجه به بررسی های به عمل آمده در بازار سراسری ، نیازمند دانش فنی تولید انواع کمپر قابل حمل با خودروی سواری با وزن پایین می باشد . توضیح اینکه این فناوری در کشور به شکل درست موجود نبوده و اطلاعات فنی زیادی از آن در دسترس این واحد نمی باشد .,توسعه صنعت شریف,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,کرمانشاه,کرمانشاه,https://nan.ac/ViewNeed/8439E11418C4A182BE320E2F64A7F074
2688,"حلال‌ها (NFM , NMP)",,شرکت پتروشیمی تبریز,"علوم پایه, مهندسی نفت",,ایران,آذربایجان شرقی,تبریز,https://nan.ac/ViewNeed/B4C080E0C7C88C542ED38C1BF735E3C5
2689,استفاده از روش فتومتری,اندازه گیری میزان نیکل، کبالت، منگنز و کروم  در اسید سولفوریک با روش فتومتری,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['شیمی، تجزیه'],ایران,مرکزی,اراک,https://nan.ac/ViewNeed/385B1710B68F8740EEDBF608FEB8A480
2690,بذر کلزای پوشش دار,کوتینگ یا پوشش دار نمودن بذر به معنای ایجاد روکش خاص روی بذراست که باهدف بهبود و افزایش میزان جذب آب و مواد غذایی و همچنین مقاومت بذر در مقابله با آفات گیاهی انجام میشودبا توجه به نوع بذر،اندازه و ساختار آن پوشش های مختلفی مورداستفاده قرار می گیردو میتواند سبب بهبود شکل ظاهری بذر شده و همچنین باعث بهبودشرایط کاشت شودهمچنین بهبود  فرایند رشد، شاخص های جوانه زنی و سبز شدن وایجاد گیاهچه های قوی را به دنبال داردمتوسط نرخ جوانه زنی در بذر پوشش دار شده حدود 30درصد بیشتر از بذور بدون پوشش دار است و.ضمن اینکه دارای عملکرد محاظتی بهتری هستند.کلزا نخستین بذری میباشد که نسبت به کوتینگ آن در تعداد خیلی محدودی از ارقام بصورت آزمایشگاهی آن اقدام شده است  لذا اهمیت ایجاد امنیت غذایی پایدار در حوزه تولیدات روغن در کشور و همچنین استان ما بسیار بالاست به همین سبب کوتینگ بذرها علی الخصوص در بذرهای با ارزش همچون کلزا در جهت پایداری امنیت غذایی در کشور لازم و ضروری میباشد .,سازمان جهاد کشاورزی خراسان شمالی,کشاورزی و منابع طبیعی,['بذر کلزای پوشش دار'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/FF9E99AC4F8DC9F73C3B4123FD2F9D60
2691,کاتالیستHLD-001,,پتروشیمی بوعلی سینا,"علوم پایه, فنی و مهندسی, مهندسی مکانیک",,ایران,خوزستان,بندرماهشهر,https://nan.ac/ViewNeed/550CCA2E84E51287C24DEE2F6629E694
2692,ترمینال,نبود تکنولوژی ساخت قطعه,,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,,,https://nan.ac/ViewNeed/734B31FC848C75AD018A32CB8457CE04
2693,طراحی فرایند اسمز معکوس,نیازفناورانه/مشاوره فنی ومهندسی,نمونه ساز بعد سوم,"علوم پایه, فنی و مهندسی",,ایران,البرز,,https://nan.ac/ViewNeed/F5071705589C871D5B501B646E5600ED
2694,پوشش های نانوکامپوزیتی دارای پایداری حرارتی,نیازفناورانه/مشارکت درتولید,نمونه ساز بعد سوم,"علوم پایه, فنی و مهندسی",,ایران,البرز,,https://nan.ac/ViewNeed/7584CCA2C1EEF6E134C1FC3FB00422F1
2695,توسعه و توليد مواد پيشرفته نظير نانوكامپوزيت‌ها جهت كاهش وزن خودرو,,شركت بهينه‌سازي مصرف سوخت كشور,"علوم پایه, فنی و مهندسی, برق و الکترونیک خودرو",,ایران,تهران,تهران,https://nan.ac/ViewNeed/A1D7DF7B81F52BAA6C7AACB1C496DF4F
2696,تعیین هندسه و تکامل ساختارهای فروبار دزفول جنوبی با ترسیم و بازگردانی گام به گام برش های ترازمند,این تقاضا  توسط وزارت نفت ارائه گردیده است.,شرکت ملی مناطق نفت خيز جنوب,مهندسی شیمی,,ایران,تهران,تهران,https://nan.ac/ViewNeed/6BBB34233F30DB048D3B124AB2B663C9
2697,فيلتر مصرفي مربوط به تست سوخت‌هاي هوايي,,شركت ملي پخش فرآورده‌هاي نفتي,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/47D300A02EA2809FDF3FA21E6158E55E
2698,بومی سازی فرآیند ساخت خرطومی فلکسیبل,این شرکت تولیدکننده شیلنگ های استیل فلکسیبل که در تجهیزات و ابزارهای هیدرولیکی و پنوماتیکی صنایع کاربرد دارند می باشد.نظر به اینکه خرطومی این شیلنگ ها وارداتی بوده و تامین و حمل آن هزینه های بالایی دارد، این واحد در نظر دارد نسبت به بومی سازی فرایند تولید آن اقدام نماید.,,"علوم پایه, فنی و مهندسی, مهندسی مکانیک",,ایران,هرمزگان,,https://nan.ac/ViewNeed/5291734BFEC0CC2295751C99CF5FF283
2699,بررسی مباحث کیفی- زیست محیطی جهت مدیریت منابع آب در منابع آب مرزی بر اساس حقوق بین الملل,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه ای آذربایجان شرقی,,['زیست محیطی،   مدیریت منابع آب ،  منابع آب مرزی، حقوق بین الملل'],ایران,آذربایجان شرقی,تبریز,https://nan.ac/ViewNeed/356A3FDE4B1E95D1A8F4172D5FF615D2
2700,بانک خازنی,,شرکت ملی مهندسی و ساختمان نفت ایران,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/79473270A42B90CB8C6F2E58E43E0D68
2701,سامانه 125 آتش نشانی(راه اندازی زنگ حریق مرکزی جهت اعلام حوادث به ایستگاه ها ی سازمان بدون تاخیر و ایجاد نرم افزار جهت برقراری ارتباط افراد ناتوان در ارتباطات کلامی با سامانه و ..),تا کنون توضیحات بیشتر این نیاز توسط پارک علم و فناوری کردستان به دبیرخانه نان ارائه نشده است,شهرداری مرکزی سنندج,"علوم انسانی, مطالعات فرهنگی",,ایران,کردستان,سنندج,https://nan.ac/ViewNeed/1388CFAF69A2056599AC8AAD6B00290F
2702,پیاده سازی سیستم مدیریت امنیت اطلاعات isms( تهیه سیستم های امنیتی و اجرای آن),تا کنون توضیحات بیشتر این نیاز توسط پارک علم و فناوری کردستان به دبیرخانه نان ارائه نشده است,دانشگاه فنی و حرفه ای یزدانپناه,"علوم انسانی, سیستم های اطلاعاتی پیشرفته",,ایران,کردستان,سنندج,https://nan.ac/ViewNeed/1918F8FD031A75CC216A50EC3AD1FFC9
2703,قطع کن گاز انشعابات فلزی3/4 بدون قطع شبکه,در زمان تعمیرات نیاز به حفاری در خیابان اصلی است که با استفاده از دستگاه قطع مقطعی می توان بدون حفاری تعمیرات لازم را انجام داد,شرکت گاز استان خوزستان,فنی و مهندسی,['قطع کن گاز،'],ایران,خوزستان,اهواز,https://nan.ac/ViewNeed/5C4D09B9F2DB25B53086F446185022E3
2704,نرم افزار بروزرسانی فایل وصولی بانک ها به صورت مکانیزه,فایل وصولی بانکها در هر روز در سایت بانک قرار میگیرد و کابر سیستم جامع در شرکت می بایست هر روز وارد سایت 25 بانک شده و فایل بارگزاری شده را در سیستم جامع خدمات مشترکین بروز رسانی کند.,پارک علم و فناوری گلستان,فنی و مهندسی,"['نرم افزار', 'بانک']",ایران,گلستان,گرگان,https://nan.ac/ViewNeed/B542D3FA308F65E7386152F966EEEA4F
2705,Tubing Set Plug ( temporary blanking plug),,شركت نفت فلات قاره ايران,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/F357B7B2ADD8EA778DD98DC312F2212C
2706,روش ها و تجهیزات نوین استحصال عصاره از گیاهان دارویی,صنعت گیاهان دارویی در ایران منبع عظیم اقتصادی با ارزش افزوده بسیار بالاست، به طوری که ارزش بالقوه صادرات محصولات فرآوری شده از گیاهان دارویی کشور سالانه تا 5 میلیارد دلار تخمین زده می شود، ولی در حال حاضر فاصله ی زیادی تا رسیدن به این عدد داریم.,پارک علم و فناوری گیلان,کشاورزی و منابع طبیعی,['گیاهان دارویی'],ایران,گیلان,رشت,https://nan.ac/ViewNeed/ACEB8C81FDD06D3C60DE57F93C4F3F5B
2707,سنگینی وزن و ابعاد بالای بدنه و سیستم خنک کننده چراغ های ال ای دی بزرگ,سنگینی وزن و ابعاد سیستم خنک کننده بدنه ریخته گری در چراغ‌های LED در مقیاس بسیار بزرگ مانند چراغ‌های استادیومی,,"علوم پایه, فنی و مهندسی, مهندسی برق",,ایران,,,https://nan.ac/ViewNeed/AC669B4DA78B6267E7BA8D74D39A1CC1
2708,راهنمای تدوین پیش نویس قوانین و مقررات قضایی در پرتو سیاست های کلی قانونگذاری,بازنگری در سیاست های کلی امور قضایی,قوه قضاییه جمهوری اسلامی ایران,,['تدوین-پیش نویس-قوانین-قضایی'],ایران,قزوین,قزوین,https://nan.ac/ViewNeed/589055F49A5581E997F81D99822011EC
2709,فرمولاسیون تولید مایع ، ژل و پودر شوینده ماشین ظرفشویی,این واحد در زمینه تولید انواع مواد شوینده و ضد عفونی کننده فعالیت دارد. جهت تکمیل سبد محصولات خود نیازمند فرمولاسیون پودر و مایع شوینده ماشین ظرفشویی می باشد.,هسته دانش بنیان فناوران قومس,"علوم پایه, شیمی",,ایران,سمنان,,https://nan.ac/ViewNeed/8A649BF73FC3F7E4DD1DF5F8B1DA9DE4
2710,ارایه راهکارهای عملی برای حل مشکل شورابه آب شیرین کن های کوچک مقیاس,*عنوان مشکل کلیدی قابل حل توسط پروژه,شركت آب منطقه‌اي استان بوشهر,,['شورابه ، آب شیرین کن'],ایران,بوشهر,,https://nan.ac/ViewNeed/12C1F44DD008EBC575809E8C95B874E6
2711,باز طراحی و اجرا و بهره برداری شبکه های خودنگهدار براساس شرایط اقلیمی و محیطی استان یزد و شناسایی ریسک ها و مخاطرات مربوطه و ارایه راهکارها با استفاده از نرم افزارDigsilent,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['شبکه های خودنگهدار ،شرایط اقلیمی و محیطی، نرم افزارDigsilent'],ایران,یزد,یزد,https://nan.ac/ViewNeed/4E14880A206289F472CB702FB6190CB9
2712,تکمیل تجهیزات استودیویی تولید و پخش مرکز قم,نیاز مربوط به سازمان صدا و سیمای جمهوری اسلامی ایران  زیرمجموعه  دستگاه اجرایی  و عنوان پروژه تکميل تجهيزات استوديويي توليد و پخش مرکز قم است.  و تعداد 10  عدد نیاز است. ISIC=3210512343  HS=84715090,سازمان صدا و سیمای جمهوری اسلامی ایران,"علوم پایه, علوم کامپیوتر, معماری سیستم های کامپیوتری",,ایران,قم,قم,https://nan.ac/ViewNeed/CF2081F5125D3A3AFD837001802D5DF3
2713,ارتقا سیستم کنترل فرآیند واحدهای عملیاتی(DCS),ارتقا سیستم کنترل فرآیند واحدهای عملیاتی(DCS),آلومینای ایران(جاجرم),فنی و مهندسی,['سیستم کنترل فرآیند،ارتقا'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/93F3D0DBAB1022FA29DE598490048CCF
2714,طراحی و ساخت ماشین مخصوص تمام اتومات کف تراشی،سوراخ کاری،قلاویز کاری محورهای واگن,باتوجه به زمان بر بودن اتومات کف تراشی،سوراخکاری قلاویزکاری محورهای واگن -این تجهیز بار ترافیکی موجود در خط تولید را کاسته و افزایش بهره وری را در پی خواهد داشت.,مجتمع فولاد اسفراین,"علوم پایه, فنی و مهندسی",['اتومات،واگن،سوراخکاری'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/09820BB913E7A2E3AC68FFEE8EAEE8DB
2715,نسل‌هاي جديد اسيد با ويژگي‌هاي عدم ايجاد رسوب، عدم خوردگي، شعاع نفوذ بالا و حفظ خاصيت اسيدي، حل نمودن سازند به صورت يكنواخت، پايدار در دما و فشار بسيار بالا و ...,,مدیریت اکتشاف,"علوم پایه, مهندسی نفت",,ایران,تهران,تهران,https://nan.ac/ViewNeed/D4F78859AE988056CBFC4B7F82FEA325
2716,بررسی تعیین ضرایب هیدرودینامیکی آبخوان بر اساس تغییرات سطح آب زیرزمینی,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه‌ای خراسان رضوی,,['ضرایب هیدرودینامیکی آبخوان  ، آب زیرزمینی'],ایران,خراسان رضوی,,https://nan.ac/ViewNeed/FDCF6FFD8366DABD82016377CE500940
2717,بررسی هیدرولوژیکی حوضه‌های آبریز سطح استان و مدل سازی نرم افزاری,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب منطقه ای زنجان,,['هیدرولوژیکی حوضه\u200cهای آبریز ، مدل سازی نرم افزاری'],ایران,زنجان,,https://nan.ac/ViewNeed/8AD2B859B5F0965124C40616E26827CA
2718,دستگاه حرارت سنج مذاب کوره,ین دستگاهها بسیار گران قیمت بوده و در فرایند تولید فوالد در کوره قوس الکتریکی برای اندازه گیری حرارت مذاب,گروه ملی صنایع فولاد,,['حرارت سنج، کوره'],,خوزستان,اهواز,https://nan.ac/ViewNeed/0AD71BACF3DE348A679A162CB9EC5F4B
2719,تيغ اره گرم بر,,گروه ملی صنعتی فولاد ایران,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,تهران,تهران,https://nan.ac/ViewNeed/17B399B88DD7D43BBE4A2963D56BC9A9
2720,ايمن سازي سيستم هاي كنترل در مقابله حملات سايبري,,شركت خطوط لوله و مخابرات نفت ايران,"علوم پایه, علوم کامپیوتر, مدیریت سیستم های اطلاعاتی",,ایران,تهران,تهران,https://nan.ac/ViewNeed/5073DA6AC912131434766A72DBF8F705
2721,تدوین استراتژی راهبری غیرمتمرکز شبکه سراسری برق کشور,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['استراتژی راهبری غیرمتمرکز ، شبکه سراسری برق کشور'],ایران,تهران,,https://nan.ac/ViewNeed/813E070779E22C109F679DF801DEF86F
2722,بررسی خطرات استفاده از گجت های هوشمنددرشبکه صنعتی نیروگاهها (در مجاورت سیستم کنترل),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی سازمان آب و برق خوزستان,,['گجت های هوشمند، شبکه صنعتی نیروگاهها ، سیستم کنترل'],ایران,خوزستان,,https://nan.ac/ViewNeed/EF281955ADE946689DE7B7CF8503A2DB
2723,دستگاه اتوماتیک جداسازی سرو دم و فیله کردن ماهی,در حال حاضر فیله ( بی سر و دم ) کردن ماهی ساردین و ماهی تن ، با استفاده از نیروی انسانی صورت می پذیرد . با توجه به اینکه در این خصوص بهره وری لازم صورت نمی پذیرد و عمدتا با ضایعات زیاد صورت می گیرد . استفاده از ماشین آلات اتوماتیک می توان نتایج بهتری بدست آورد .,,"کشاورزی و منابع طبیعی, علوم بهداشت",,ایران,هرمزگان,,https://nan.ac/ViewNeed/4C15DEBD9F2A71D4AFA56C534921FE09
2724,دستگاه یخ زدایی  به منظور یخ زدایی از سطوح کنترلی هواپیما,یکی از فاکتورهای مهم جهت برنامه ریزی برقراری پرواز در یک فرودگاه در نیمه دوم سال وجود دستگاه de-icing به منظور عملیات یخ زدایی از سطوح کنترلی هواپیما در ایام سرما (یخ زدایی هواپیما در شرایط دمایی زیر صفر) در فرودگاه می باشد.,دانشگاه ایلام,فنی و مهندسی,['یخ زدایی، هواپیما، فرودگاه ایلام'],ایران,ایلام,ایلام,https://nan.ac/ViewNeed/1E84B441FF7586E63DAFC56C5021283C
2725,دستگاه هم­محوري ليزري,,شركت نفت فلات قاره ايران,"علوم پایه, فنی و مهندسی, مهندسی برق",,ایران,تهران,تهران,https://nan.ac/ViewNeed/D3540DABA0030F19E5B8CAC1A9F25CAA
2726,بررسی و مطالعه محرک جدید شیرهای گلوب بارویکرد حذف برق سه فاز (طراحی و ساخت نمونه پایلوت),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب و فاضلاب استان یزد,,['محرک جدید شیرهای گلوب ،  حذف برق سه فاز'],ایران,یزد,,https://nan.ac/ViewNeed/4C0174D75AC9FA366FC65814ECE8AAB2
2727,دانش فنی ذخیره آب های گلخانه ای ( رطوب گیر های بازده بالای پیشرفته ),دانش فنی ذخیره آب های گلخانه ای ( رطوب گیر های بازده بالای پیشرفته ),پارک علم و فناوری,کشاورزی و منابع طبیعی,['رطوبت گیر گلخانه ای'],ایران,کرمانشاه,کرمانشاه,https://nan.ac/ViewNeed/5D126C184405B211E6C06251D185F0AC
2728,بررسی شاخصها و پارامترهای اقتصادی و اجتماعی موثر در پدیده سیلاب و خسارتهای ناشی از آن سیلاب,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه ای قزوین,,['پارامترهای اقتصادی و اجتماعی ،   پدیده سیلاب ، خسارتهای  سیلاب'],ایران,قزوین,,https://nan.ac/ViewNeed/7099436FD38D812056B23E9E69EFDFFC
2729,ارزیابی هارمونیکی شبکه برق پالایشگاه فجر جم و مطالعه اقتصادی و فنی بکارگیری فیلترهای اکتیو و پسیو,کاهش اعوجاجها، تعداد، ظرفیت، نوع و تنظیمات بهینه فیلترهای هارمونیکی با در نظر گرفتن اهداف اقتصادی و محدودیتهای فنیست,شرکت پالایش گاز فجر جم,"علوم پایه, فنی و مهندسی, مهندسی برق",,ایران,,,https://nan.ac/ViewNeed/803CA04C69087D488579618664D3A94D
2730,ارائه مدلی جهت ارزیابی اثربخشی اقدامات آبخیزداری,استفاده از مدل¬ها و روش¬های موثر بر ارزیابی اثر بخشی اقدامات آبخیزداری متناسب با شرایط هر حوزه آبخیز,اداره کل منابع طبیعی و آبخیزداری استان اصفهان,,['آبخیزداری،حوزه آبخیز،حوزه آبخیز'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/E55FE5B22ABC89F5690C7B8351F4F016
2731,دوزینگ پمپ,نوع پمپ: Alldos- کشور سازنده: آلمان- تیپ پمپ: 255-550-1002- فشار کاری: 10 bar- دبی: 550L/h- نوع الکتروموتور: زیمنس- تیپ الکتروموتور: 1LA/080-091066- ولتاژ نامی: 220-240   --     380-420 Y- جریان نامی: 2.4 / 1.4- دور موتور: 1380 RPM- توان موتور: 0/55 KW *** این نیاز مربوط به مسعود احمدی با کد ملی 4.28573e+009 و شماره همراه: 9.12743e+009 می‌باشد و توسط پارک علم و فناوری استان زنجان ارائه گردیده است.,,,['تزریق دقیق مواد شیمیایی ، گندزداها، دوزینگ پمپ'],ایران,زنجان,زنجان,https://nan.ac/ViewNeed/899877693E3214BFFC4D7ECCF115D073
2732,دانش فني و تجهيزات براي فرآوري كيسه شناي ميش ماهي,فراوری کیسه شنا میش ماهی,,"علوم و مهندسی شیلات, علوم بهداشت",,ایران,خوزستان,,https://nan.ac/ViewNeed/5028CB9E6398E636ED31C68281718E78
2733,تکنولوژی روکش کردن تمام قسمت های قاب گوشی با چرم طبیعی,تکنولوژی روکش کردن چرمی قاب گوشی و .......,,"علوم پایه, فنی و مهندسی",,ایران,,,https://nan.ac/ViewNeed/9122199A7F0D36997AEE11CC28D50A02
2734,وضعیت شناسی اعتماد اجتماعی استان و راهکارهای مؤثر در افزایش آن,وضعیت شناسی اعتماد اجتماعی استان و راهکارهای مؤثر در افزایش آن,,,['اعتماد اجتماعی'],ایران,چهارمحال وبختیاری,شهرکرد,https://nan.ac/ViewNeed/61EBD0C66B36EB8DA24009FD50E942ED
2735,فورمولاسیون لاستیک با خواص مقاومتی در برابر روغن، سرما و گرما,گردگیر لاستیکی خودرو های سبک (در حال حاضر نمونه های داخلی فاقد کیفیت مناسب هستند و عمدتا از پرکننده های معدنی ارزان قیمت برای تولید استفاده می کنند و این مورد باعث عمر پایین قطعاتی مانند سیبک می باشد),,"علوم پایه, مهندسی مواد",,ایران,همدان,,https://nan.ac/ViewNeed/3E086696FF26F01A3D96CF34B447D769
2736,سازه های پرورش متراکم آبزیان,باتوجه به اینکه در شرایط کم آبی، تولید متراکم ماهیان باعث افزایش بهره وری تولیدوکاهش مصرف آب خواهد شدتولید سازه های تولید متراکم اهمیت بالایی دارد,پارک علم و فناوری خوزستان,فنی و مهندسی,['پرورش متراکم آبزیان'],ایران,خوزستان,اهواز,https://nan.ac/ViewNeed/14155B16556507E11CE9622D869F833A
2737,دستبند هوشمند تعیین مدت زمان فعالیت های سنگین از طریق بارکاری و استرس حرارتی,توجه به مسایل محیط کار کارکنان و ایجاد یک ایمن و مناسب و راحت برای ایشان، امری ضروری است. همچنین توجه به مساله شرایط جوی محیط کار نیز به عنوان یکی از عوامل فیزیکی محیط کار در اولویت کنترلی قرار میگیرد. مطابق مطالعات صورت گرفته، درجه حرارت در کارایی، بازدهی و دقت کار کارکنان تاثیر فراوانی دارد. تاثیر پارامترهای مذکور بر عملکرد انسانی، بازده کاری و… به صورت مستقیم نیست، بلکه این پارامترها موجب بوجود آمدن تاثیرات و تغییرات فیزیولوژیکی می شوند و افزایش تعداد خطاهای کاری، افزایش حوادث شغلی و کاهش بهره وری و...  در پی دارد. به همین دلیل استفاده از دستبندهای هوشمند جهت تعیین مدت زمان فعالیتهای سنگین از طریق بارکاری و استرس حرارتی دارای اهمیت بالایی است.,شرکت نفت ستاره خلیج فارس,"فنی و مهندسی, ایمنی، بهداشت و محیط زیست, مهندسی ایمنی، بهداشت و محیط زیست (HSE), مهندسی پزشکی",['دستبند هوشمند، استرس، سلامت'],ایران,هرمزگان,بندرعباس,https://nan.ac/ViewNeed/1FB08167DE92F199DA058BE19BF3B935
2738,فیلترهای  توربین H25,,پتروشیمی ایلام,"علوم پایه, مهندسی سیستم های انرژی",,ایران,ایلام,چوار,https://nan.ac/ViewNeed/4017E347768A4500CB610C1050707B75
2739,شناسایی فرصتها و تهیه بسته­های سرمایه گذاری استان خراسان رضوی با محوریت پروژه های پیشران اقتصاد استان,خالصه پروژه:,اداره کل امور اقتصادی و دارایی استان خراسان رضوی,,['پیشران  سرمایه گذاری ، شناسایی فرصت'],ایران,خراسان رضوی,مشهد,https://nan.ac/ViewNeed/49F02651D65847007E552CC1DAAE9497
2740,اصلاح فرمولاسیون و افزایش قابلیت دستگاه چاپ,اصلاح فرمولاسیون و افزایش قابلیت چاپ دستگاه,شرکت بهبودپژوهان,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,گلستان,,https://nan.ac/ViewNeed/7A0449885AC6FD141D6DBDB7435FCDC5
2741,ایجاد خط تولید پارچه ملت بلون,نیازفناورانه/خریدتجهیزات,نمونه ساز بعد سوم,"علوم پایه, فنی و مهندسی",,ایران,البرز,,https://nan.ac/ViewNeed/F9723FE2A6387A5C2BCF7FA76BC3814F
2742,تحقیق وپژوهش در خصوص احیای بافت های فرسوده روستایی براساس روشهای نوین با در نظر گرفتن حفظ بافت فرهنگی و سنتی,تحقیق وپژوهش در خصوص احیای بافت های فرسوده روستایی براساس روشهای نوین با در نظر گرفتن حفظ بافت فرهنگی و سنتی,,,['احیای بافت های فرسوده'],ایران,چهارمحال وبختیاری,شهرکرد,https://nan.ac/ViewNeed/C8C2214D46A5A67CACDE874294235426
2743,هوشمند سازی مدیریت منابع آب زیرزمینی با استفاده از کنتورهای سنتی,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه ای سیستان و بلوچستان,,['هوشمند سازی ، منابع آب زیرزمینی ،کنتورهای سنتی'],ایران,سیستان وبلوچستان,,https://nan.ac/ViewNeed/ED3DF090A44BE817D6232897A86E928D
